


>>>> [best parameter from grid searching] <<<<
 SVC(C=10, cache_size=200, class_weight=None, coef0=0.0, degree=2, gamma=0.001,
  kernel=poly, max_iter=-1, probability=False, random_state=None,
  shrinking=True, tol=0.001, verbose=False) 



0.089 (+/-0.000) for {'degree': 2, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 2, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 2, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 0.0001, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 0.0001, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 2, 'gamma': 0.0001, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 0.001, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 2, 'gamma': 0.001, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 2, 'gamma': 0.001, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 3, 'gamma': 1e-06, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'poly'}
0.649 (+/-0.001) for {'degree': 3, 'gamma': 1e-05, 'C': 0.01, 'kernel': 'linear'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 0.0001, 'C': 0.01, 'kernel': 'rbf'}
0.089 (+/-0.000) for {'degree': 3, 'gamma': 0.0001, 'C': 0.01, 'kernel': 'poly'}
