


>>>> [best parameter from grid searching] <<<<
 SVC(C=0.01, cache_size=200, class_weight=None, coef0=0.0, degree=2,
  gamma=1e-06, kernel=rbf, max_iter=-1, probability=False,
  random_state=None, shrinking=True, tol=0.001, verbose=False) 



0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 2, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 2, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 2, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 2, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 2, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 2, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 2, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 2, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 3, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 3, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 3, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 3, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 3, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 3, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 3, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 3, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 4, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 4, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 4, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-05, 'degree': 4, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 4, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.0001, 'degree': 4, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 4, 'C': 0.01, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 0.001, 'degree': 4, 'C': 0.01, 'kernel': 'poly'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 2, 'C': 0.1, 'kernel': 'rbf'}
0.000 (+/-0.000) for {'gamma': 1e-06, 'degree': 2, 'C': 0.1, 'kernel': 'poly'}
