0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 1e-07}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 1e-07}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 1e-07}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 1e-07}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 1e-06}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 1e-06}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 1e-06}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 1e-06}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 1e-05}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 1e-05}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 1e-05}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 1e-05}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 0.0001}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 0.0001}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 0.0001}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 0.0001}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 0.001}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 0.001}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 0.001}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 0.001}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 0.01}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 0.01}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 0.01}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 0.01}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 0.1}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 0.1}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 0.1}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 0.1}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 1}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 1}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 1}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 1}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 10}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 10}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 10}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 10}
0.089 (+/-0.000) for {'degree': 2, 'kernel': 'poly', 'C': 100}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 100}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 100}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 100}
0.297 (+/-0.006) for {'degree': 2, 'kernel': 'poly', 'C': 1000}
0.089 (+/-0.000) for {'degree': 3, 'kernel': 'poly', 'C': 1000}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 1000}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 1000}
0.411 (+/-0.006) for {'degree': 2, 'kernel': 'poly', 'C': 10000}
0.091 (+/-0.001) for {'degree': 3, 'kernel': 'poly', 'C': 10000}
0.089 (+/-0.000) for {'degree': 4, 'kernel': 'poly', 'C': 10000}
0.089 (+/-0.000) for {'degree': 5, 'kernel': 'poly', 'C': 10000}
