0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 1e-07}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 1e-06}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 1e-05}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 0.0001}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 0.001}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 0.01}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.001, 'gamma': 10}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 1e-07}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 1e-06}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 1e-05}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 0.0001}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 0.001}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 0.01}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.01, 'gamma': 10}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 1e-07}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 1e-06}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 1e-05}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 0.0001}
0.097 (+/-0.001) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 0.001}
0.103 (+/-0.001) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 0.01}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 0.1, 'gamma': 10}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 1e-07}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 1e-06}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 1e-05}
0.106 (+/-0.001) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.0001}
0.351 (+/-0.006) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.001}
0.287 (+/-0.001) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.01}
0.090 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 1}
0.088 (+/-0.000) for {'kernel': 'rbf', 'C': 1, 'gamma': 10}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 10, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 10, 'gamma': 1e-07}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 10, 'gamma': 1e-06}
0.107 (+/-0.001) for {'kernel': 'rbf', 'C': 10, 'gamma': 1e-05}
0.363 (+/-0.004) for {'kernel': 'rbf', 'C': 10, 'gamma': 0.0001}
0.357 (+/-0.005) for {'kernel': 'rbf', 'C': 10, 'gamma': 0.001}
0.305 (+/-0.002) for {'kernel': 'rbf', 'C': 10, 'gamma': 0.01}
0.091 (+/-0.001) for {'kernel': 'rbf', 'C': 10, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 10, 'gamma': 1}
0.088 (+/-0.000) for {'kernel': 'rbf', 'C': 10, 'gamma': 10}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 100, 'gamma': 1e-08}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 100, 'gamma': 1e-07}
0.108 (+/-0.001) for {'kernel': 'rbf', 'C': 100, 'gamma': 1e-06}
0.367 (+/-0.004) for {'kernel': 'rbf', 'C': 100, 'gamma': 1e-05}
0.331 (+/-0.002) for {'kernel': 'rbf', 'C': 100, 'gamma': 0.0001}
0.346 (+/-0.003) for {'kernel': 'rbf', 'C': 100, 'gamma': 0.001}
0.304 (+/-0.001) for {'kernel': 'rbf', 'C': 100, 'gamma': 0.01}
0.091 (+/-0.001) for {'kernel': 'rbf', 'C': 100, 'gamma': 0.1}
0.089 (+/-0.000) for {'kernel': 'rbf', 'C': 100, 'gamma': 1}
0.088 (+/-0.000) for {'kernel': 'rbf', 'C': 100, 'gamma': 10}
